entity_id,state,last_changed_utc
sensor.basement_battery_bank_monitor_diag_result,unknown,2026-09-25T14:10:41.882246+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_BASE_1 300s n=150 mean=-8.94 sd=5.86 sk=-0.33 ek=1.29 pos=4.0% min=-29.0 max=9.9 sd1m=5.15/7.13 Q=-9.13mA E=0.4844W Vsd=0.087mV,2026-09-25T14:17:02.760001+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_A_LIT_PAGE 300s n=150 mean=-10.46 sd=2.58 sk=-0.54 ek=3.09 pos=0.0% min=-21.4 max=-1.5 sd1m=2.00/3.06 Q=-10.42mA E=0.2595W Vsd=0.094mV,2026-09-25T14:22:22.766497+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_BASE_2 300s n=150 mean=-8.17 sd=5.30 sk=-0.16 ek=-0.08 pos=4.0% min=-23.7 max=3.8 sd1m=4.92/6.09 Q=-8.11mA E=0.4809W Vsd=0.079mV,2026-09-25T14:27:42.778162+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_B_BLACK 300s n=150 mean=-9.67 sd=5.44 sk=-0.45 ek=2.20 pos=3.3% min=-29.4 max=8.0 sd1m=3.56/7.08 Q=-9.92mA E=0.4326W Vsd=0.097mV,2026-09-25T14:33:02.790692+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_BASE_3 300s n=150 mean=-8.70 sd=5.45 sk=0.12 ek=0.59 pos=6.0% min=-23.7 max=9.5 sd1m=4.64/6.33 Q=-8.72mA E=0.4728W Vsd=0.096mV,2026-09-25T14:38:22.816682+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_C_WHITE 300s n=150 mean=-10.15 sd=1.72 sk=-0.13 ek=-0.05 pos=0.0% min=-14.9 max=-5.7 sd1m=1.65/1.85 Q=-10.14mA E=0.2229W Vsd=0.094mV,2026-09-25T14:43:42.821867+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_BASE_4 300s n=150 mean=-7.62 sd=5.03 sk=0.26 ek=-0.38 pos=8.0% min=-18.3 max=6.1 sd1m=4.22/5.92 Q=-8.13mA E=0.4708W Vsd=0.085mV,2026-09-25T14:49:02.829842+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_D_LOOP_1MS 300s n=150 mean=-6.42 sd=6.51 sk=0.31 ek=-0.15 pos=16.0% min=-21.7 max=11.1 sd1m=5.92/7.71 Q=-6.37mA E=0.6266W Vsd=0.094mV,2026-09-25T14:54:22.852544+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_BASE_5 300s n=150 mean=-8.09 sd=5.58 sk=0.26 ek=0.30 pos=7.3% min=-24.8 max=9.9 sd1m=5.09/6.40 Q=-8.24mA E=0.4718W Vsd=0.093mV,2026-09-25T14:59:42.856396+00:00
sensor.basement_battery_bank_monitor_diag_result,TB1_WIFI_ON_BEFORE 600s n=300 mean=-8.74 sd=5.08 sk=0.31 ek=0.35 pos=5.0% min=-21.7 max=7.2 sd1m=3.77/5.99 Q=-8.62mA E=0.4767W Vsd=0.093mV,2026-09-25T15:10:48.937697+00:00
sensor.basement_battery_bank_monitor_diag_result,unavailable,2026-09-25T15:12:51.907462+00:00
sensor.basement_battery_bank_monitor_diag_result,TB1_WIFI_OFF 600s n=300 mean=-6.54 sd=8.16 sk=0.12 ek=0.10 pos=20.7% min=-28.2 max=18.3 sd1m=6.71/10.09 Q=-6.38mA E=0.9886W Vsd=0.106mV,2026-09-25T15:20:59.926595+00:00
sensor.basement_battery_bank_monitor_diag_result,TB1_WIFI_ON_AFTER 600s n=300 mean=-8.88 sd=4.71 sk=0.13 ek=0.05 pos=3.7% min=-21.0 max=5.3 sd1m=3.06/5.95 Q=-8.79mA E=0.4751W Vsd=0.089mV,2026-09-25T15:31:14.784021+00:00
sensor.basement_battery_bank_monitor_diag_result,TB4_BASE_1 300s n=150 mean=-8.62 sd=4.94 sk=0.39 ek=0.39 pos=4.0% min=-20.6 max=8.8 sd1m=4.71/5.07 Q=-8.71mA E=0.4421W Vsd=0.045mV,2026-09-25T15:37:35.707851+00:00
