entity_id,state,last_changed_utc
sensor.basement_battery_bank_monitor_diag_status,unknown,2026-09-25T14:10:41.880888+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 1/9: base (panel off),2026-09-25T14:11:42.752825+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 2/9: lit page_main,2026-09-25T14:17:02.763012+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 3/9: base (panel off),2026-09-25T14:22:22.768672+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 4/9: BLACK frame, panel on",2026-09-25T14:27:42.779999+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 5/9: base (panel off),2026-09-25T14:33:02.792604+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 6/9: WHITE frame, panel on",2026-09-25T14:38:22.819170+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 7/9: base (panel off),2026-09-25T14:43:42.825055+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 8/9: 1 ms loop interval (extra CPU load), panel off",2026-09-25T14:49:02.830589+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 9/9: base (panel off),2026-09-25T14:54:22.855645+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 done - panel off, loop interval restored",2026-09-25T14:59:42.856941+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-1 1/3: Wi-Fi ON control, 10 min",2026-09-25T15:00:48.916227+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-1 2/3: Wi-Fi OFF 10 min - HA shows unavailable; results arrive after reconnect,2026-09-25T15:10:48.938315+00:00
sensor.basement_battery_bank_monitor_diag_status,unavailable,2026-09-25T15:12:51.877234+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-1 2/3: Wi-Fi OFF 10 min - HA shows unavailable; results arrive after reconnect,2026-09-25T15:20:59.926320+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-1 3/3: Wi-Fi ON control, 10 min",2026-09-25T15:21:14.777288+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-1 done,2026-09-25T15:31:14.785785+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 1/9: base (panel off),2026-09-25T15:32:15.687780+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 2/9: lit page_main,2026-09-25T15:37:35.709486+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 3/9: base (panel off),2026-09-25T15:42:55.699320+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 4/9: BLACK frame, panel on",2026-09-25T15:48:15.716343+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 5/9: base (panel off),2026-09-25T15:53:35.712567+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 6/9: WHITE frame, panel on",2026-09-25T15:58:55.711006+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 7/9: base (panel off),2026-09-25T16:04:15.721195+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 8/9: 1 ms loop interval (extra CPU load), panel off",2026-09-25T16:09:35.716597+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-4 9/9: base (panel off),2026-09-25T16:14:55.832793+00:00
sensor.basement_battery_bank_monitor_diag_status,"TB-4 done - panel off, loop interval restored",2026-09-25T16:20:15.847575+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-2 1/5: TX max 20.00 dBm (asked 20.5),2026-09-25T16:21:16.892751+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-2 2/5: TX max 17.00 dBm (asked 17.0),2026-09-25T16:37:16.910632+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-2 3/5: TX max 14.00 dBm (asked 14.0),2026-09-25T16:53:16.929398+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-2 4/5: TX max 11.00 dBm (asked 11.0),2026-09-25T17:09:16.953223+00:00
sensor.basement_battery_bank_monitor_diag_status,TB-2 5/5: TX max 8.50 dBm (asked 8.5),2026-09-25T17:25:16.969537+00:00
