entity_id,state,last_changed
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:00:00.000Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:04:16.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:05:16.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:11:53.135Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:13:16.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:24:16.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:25:16.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:27:20.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:28:20.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:29:27.689Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:30:27.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:32:27.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.39,2026-07-15T04:34:27.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:35:27.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:38:27.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:39:27.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:40:27.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:41:27.525Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:42:27.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:43:27.525Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:44:39.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:46:49.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:49:06.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:50:06.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.39,2026-07-15T04:51:06.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:52:06.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:53:06.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T04:57:16.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T04:58:16.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T05:01:16.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T05:02:16.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.39,2026-07-15T05:03:16.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.4,2026-07-15T05:04:16.523Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.39,2026-07-15T05:06:16.524Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.41,2026-07-15T05:07:16.523Z
