entity_id,state,last_changed
sensor.shellyplusuni_78421c535d68_voltmeter,13.25,2026-03-02T00:00:13.256Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:00:15.255Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.25,2026-03-02T00:00:22.270Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:00:23.300Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.28,2026-03-02T00:00:35.233Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:00:37.230Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:00:42.228Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:00:43.241Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:01:04.210Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:01:06.207Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:01:13.190Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:01:14.198Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:01:17.189Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:01:19.200Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:01:22.182Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:01:23.187Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:01:27.185Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.25,2026-03-02T00:01:30.175Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:01:31.176Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.25,2026-03-02T00:02:22.117Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:02:24.167Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.28,2026-03-02T00:03:14.061Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:03:17.059Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.28,2026-03-02T00:03:43.030Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:03:45.027Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:03:47.023Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:04:00.013Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:04:04.011Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:04:09.999Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:04:12.996Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.25,2026-03-02T00:04:27.981Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:04:30.978Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:05:21.921Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.28,2026-03-02T00:05:23.918Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:05:24.920Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.28,2026-03-02T00:05:32.910Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:05:33.910Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:05:38.904Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:05:46.896Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:06:01.878Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:06:02.876Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:06:11.869Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:06:59.813Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:07:01.817Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:07:08.807Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:07:10.803Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:07:24.788Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:07:27.834Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.25,2026-03-02T00:07:28.796Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:07:31.780Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:08:21.722Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:08:23.719Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.24,2026-03-02T00:08:29.715Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.25,2026-03-02T00:08:30.711Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:08:32.711Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:08:34.716Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:08:42.707Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:09:02.679Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:09:04.680Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.24,2026-03-02T00:09:29.705Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:09:30.650Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:09:33.643Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:09:35.644Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.28,2026-03-02T00:09:38.639Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:09:39.638Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.28,2026-03-02T00:09:41.638Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.26,2026-03-02T00:09:42.635Z
sensor.shellyplusuni_78421c535d68_voltmeter,13.27,2026-03-02T00:09:47.631Z
