time_utc,hw_ah,own_ah,sw_charged_ah,sw_discharged_ah,sw_net_ah
2026-07-17 12:00:00+00:00,4.572425,4.584099,3.1e-05,0.000375,-0.000344
2026-07-17 13:00:00+00:00,4.565053,4.577891,3.1e-05,0.000375,-0.000344
2026-07-17 14:00:00+00:00,4.558494,4.571258,3.1e-05,0.000375,-0.000344
2026-07-17 15:00:00+00:00,4.55256,4.565134,3.1e-05,0.000375,-0.000344
2026-07-17 16:00:00+00:00,4.546056,4.558814,3.1e-05,0.000401,-0.000371
2026-07-17 17:00:00+00:00,4.539568,4.552465,3.1e-05,0.000401,-0.000371
2026-07-17 18:00:00+00:00,4.532649,4.545487,5.9e-05,0.000401,-0.000342
2026-07-17 19:00:00+00:00,-0.009989,4.534261,5.9e-05,0.000489,-0.00043
2026-07-17 20:00:00+00:00,-0.020376,4.523743,5.9e-05,0.000489,-0.00043
2026-07-17 21:00:00+00:00,-0.030635,4.513535,5.9e-05,0.000489,-0.00043
2026-07-17 22:00:00+00:00,-0.04092,4.503405,5.9e-05,0.000489,-0.00043
2026-07-17 23:00:00+00:00,-0.00216,4.493274,5.9e-05,0.000537,-0.000478
2026-07-18 00:00:00+00:00,-0.011776,4.483764,5.9e-05,0.000537,-0.000478
2026-07-18 01:00:00+00:00,-0.021114,4.474348,5.9e-05,0.000537,-0.000478
2026-07-18 02:00:00+00:00,-0.030658,4.464804,5.9e-05,0.000563,-0.000504
2026-07-18 03:00:00+00:00,-0.040141,4.455422,5.9e-05,0.000563,-0.000504
2026-07-18 04:00:00+00:00,-0.049586,4.446172,5.9e-05,0.000563,-0.000504
2026-07-18 05:00:00+00:00,-0.058682,4.43709,5.9e-05,0.000563,-0.000504
2026-07-18 06:00:00+00:00,-0.068117,4.427682,5.9e-05,0.000563,-0.000504
2026-07-18 07:00:00+00:00,-0.077844,4.417984,5.9e-05,0.000563,-0.000504
2026-07-18 08:00:00+00:00,-0.087174,4.40857,5.9e-05,0.000563,-0.000504
2026-07-18 09:00:00+00:00,-0.096742,4.399116,5.9e-05,0.000563,-0.000504
2026-07-18 10:00:00+00:00,-0.105922,4.389912,5.9e-05,0.000595,-0.000535
2026-07-18 11:00:00+00:00,-0.115281,4.380551,5.9e-05,0.000595,-0.000535
2026-07-18 12:00:00+00:00,-0.124628,4.371126,5.9e-05,0.000595,-0.000535
2026-07-18 13:00:00+00:00,-0.134068,4.361786,5.9e-05,0.000653,-0.000593
2026-07-18 14:00:00+00:00,-0.143215,4.352463,5.9e-05,0.000653,-0.000593
2026-07-18 15:00:00+00:00,-0.152288,4.343446,5.9e-05,0.000653,-0.000593
2026-07-18 16:00:00+00:00,-0.161405,4.334325,5.9e-05,0.000653,-0.000593
2026-07-18 17:00:00+00:00,-0.170372,4.325431,5.9e-05,0.000653,-0.000593
2026-07-18 18:00:00+00:00,-0.179593,4.316253,5.9e-05,0.000653,-0.000593
2026-07-18 19:00:00+00:00,-0.188964,4.306917,5.9e-05,0.000653,-0.000593
2026-07-18 20:00:00+00:00,-0.198455,4.297358,5.9e-05,0.000653,-0.000593
2026-07-18 21:00:00+00:00,-0.20724,4.288395,5.9e-05,0.000653,-0.000593
2026-07-18 22:00:00+00:00,-0.215842,4.279978,5.9e-05,0.000653,-0.000593
2026-07-18 23:00:00+00:00,-0.224731,4.271048,5.9e-05,0.000653,-0.000593
2026-07-19 00:00:00+00:00,-0.233751,4.262043,5.9e-05,0.000653,-0.000593
2026-07-19 01:00:00+00:00,-0.242808,4.25299,5.9e-05,0.000653,-0.000593
2026-07-19 02:00:00+00:00,-0.251873,4.243945,5.9e-05,0.000653,-0.000593
2026-07-19 03:00:00+00:00,-0.260669,4.235346,5.9e-05,0.000653,-0.000593
2026-07-19 04:00:00+00:00,-0.26959,4.226493,5.9e-05,0.000653,-0.000593
2026-07-19 05:00:00+00:00,-0.278398,4.217817,5.9e-05,0.000653,-0.000593
2026-07-19 06:00:00+00:00,-0.286839,4.209441,5.9e-05,0.000653,-0.000593
2026-07-19 07:00:00+00:00,-0.295334,4.200989,5.9e-05,0.000653,-0.000593
2026-07-19 08:00:00+00:00,-0.303931,4.192526,5.9e-05,0.000653,-0.000593
2026-07-19 09:00:00+00:00,-0.312189,4.184278,5.9e-05,0.000653,-0.000593
2026-07-19 10:00:00+00:00,-0.320733,4.175795,5.9e-05,0.000653,-0.000593
2026-07-19 11:00:00+00:00,-0.328993,4.167627,5.9e-05,0.000653,-0.000593
2026-07-19 12:00:00+00:00,-0.337705,4.15875,5.9e-05,0.000653,-0.000593
2026-07-19 13:00:00+00:00,-0.346342,4.150185,5.9e-05,0.000653,-0.000593
2026-07-19 14:00:00+00:00,-0.354798,4.141704,5.9e-05,0.000653,-0.000593
2026-07-19 15:00:00+00:00,-0.363317,4.133118,5.9e-05,0.000653,-0.000593
