time_utc,v_mean,v_min,v_max,v_sd_mV,i_mean_A,i_min_A,i_max_A,p_mean_W,p_min_W,p_max_W,ah_net,wh_net,coverage_s,pack_F,die_F,n_current,i_timemean_mA
2026-07-14 00:00:00+00:00,13.386813,12.579688,13.476758,254.318872,0.06275,-1.163101,2.815628,6.526172,-0.141602,37.779541,0.041338,0.537566,2682.143,75.376351,78.777576,1100,55.483788
2026-07-15 00:00:00+00:00,13.345153,12.567774,13.466797,84.283714,-1.481031,-3.144455,1.054764,-38.626022,-41.820068,14.200439,-12.6743,-166.313709,30980.598,68.828191,74.468249,15048,-1472.775907
2026-07-16 00:00:00+00:00,13.460934,12.833984,14.58418,351.622394,0.705272,-130.10788,79.296494,12.136861,-1665.427246,1113.033447,17.304979,292.153918,86399.905,69.592281,75.819356,42492,721.041587
2026-07-17 00:00:00+00:00,13.799195,13.645312,13.917969,60.253452,-0.007501,-0.061035,0.054932,-0.311066,-2.224121,2.177734,-0.178743,-7.392948,85640.208,71.268805,75.100079,42152,-7.513692
2026-07-18 00:00:00+00:00,13.657904,13.609179,13.711329,29.174973,-0.00924,-0.056076,0.03624,-0.126265,-0.766227,0.493446,-0.222226,-3.035388,86399.928,68.597051,74.780545,42449,-9.25942
2026-07-19 00:00:00+00:00,13.569641,13.532813,13.609375,22.048934,-0.008488,-0.047302,0.029755,-0.11522,-0.642839,0.403088,-0.204164,-2.770688,86398.598,68.610588,74.758768,42498,-8.506991
2026-07-20 00:00:00+00:00,13.501766,13.472852,13.533008,17.320734,-0.007557,-0.048828,0.039291,-0.102079,-0.65834,0.529628,-0.181512,-2.451398,86384.402,68.831721,74.622823,42499,-7.564347
2026-07-21 00:00:00+00:00,13.448196,13.425,13.472852,13.811821,-0.006849,-0.049973,0.037003,-0.092134,-0.671369,0.497829,-0.164236,-2.20831,86199.284,68.622598,74.558202,42496,-6.859083
2026-07-22 00:00:00+00:00,13.405535,13.3875,13.425196,10.751417,-0.00634,-0.047684,0.049591,-0.084999,-0.640098,0.664317,-0.151975,-2.03604,86251.778,68.769257,74.674405,42533,-6.343178
2026-07-23 00:00:00+00:00,13.373053,13.359571,13.387695,8.145682,-0.006212,-0.046921,0.035095,-0.083066,-0.626851,0.469357,-0.148893,-1.990938,86368.228,68.668208,74.525985,42619,-6.206163
2026-07-24 00:00:00+00:00,13.349078,13.339844,13.359766,5.653809,-0.006423,-0.051498,0.033951,-0.085723,-0.687162,0.453276,-0.153947,-2.055407,86346.842,68.720668,74.557209,42594,-6.418406
2026-07-25 00:00:00+00:00,13.333208,13.327539,13.340039,3.656647,-0.006381,-0.05455,0.03624,-0.085079,-0.727115,0.483275,-0.153185,-2.04123,86385.03,68.637272,74.498561,42622,-6.383816
2026-07-26 00:00:00+00:00,13.323844,13.320899,13.327735,1.905343,-0.006293,-0.057602,0.037384,-0.083852,-0.767613,0.498186,-0.151115,-2.013314,86399.141,68.68213,74.461449,42628,-6.296505
