time_utc,shelly_V,ina228_ma60s,current_A,dvdt_mV_per_min,delta_mV
2026-07-14 23:38:17.438000+00:00,13.42,12.87002,0.011063,,549.98031
2026-07-14 23:38:26.137000+00:00,13.41,12.95953,0.009918,,450.469926
2026-07-14 23:40:25.523000+00:00,13.44,13.476543,0.008392,,-36.54295
2026-07-14 23:41:25.522000+00:00,13.45,13.476451,0.008774,,-26.450784
2026-07-14 23:42:25.523000+00:00,13.46,13.476289,0.009918,,-16.289177
2026-07-14 23:57:30.523000+00:00,13.45,13.474429,0.00267,-2.285194,-24.429131
2026-07-15 00:01:30.523000+00:00,13.44,13.464649,1.047134,-5.800819,-24.648614
2026-07-15 00:06:35.449000+00:00,13.43,13.454286,1.047897,-5.917931,-24.286204
2026-07-15 00:08:35.523000+00:00,13.42,13.453786,0.007629,-5.917931,-33.786263
2026-07-15 00:09:35.523000+00:00,13.43,13.454777,0.005722,-5.585957,-24.776504
2026-07-15 15:54:43.523000+00:00,13.38,13.415137,-0.000763,-3.945351,-35.136814
2026-07-15 15:55:43.524000+00:00,13.39,13.415123,0.000381,-3.828049,-25.12285
2026-07-15 16:04:43.524000+00:00,13.38,13.414844,0.000763,83.535194,-34.843559
2026-07-15 16:05:43.522000+00:00,13.39,13.414909,-0.013351,83.535194,-24.908727
2026-07-15 16:06:11.429000+00:00,13.38,13.414922,-0.011826,0.01955,-34.921761
2026-07-15 16:07:10.524000+00:00,13.39,13.414941,-0.011826,-0.292969,-24.941311
2026-07-15 16:10:10.524000+00:00,13.38,13.414805,-0.008392,-0.058651,-34.80484
2026-07-15 16:11:10.524000+00:00,13.39,13.414754,-0.009537,-0.058556,-24.753767
2026-07-15 16:12:10.524000+00:00,13.38,13.414739,-0.006866,-0.097656,-34.738802
2026-07-15 16:13:10.523000+00:00,13.39,13.414698,-0.012207,-0.097656,-24.697528
2026-07-15 16:15:10.523000+00:00,13.38,13.414551,-0.018692,-0.117207,-34.551258
2026-07-15 16:17:10.523000+00:00,13.39,13.414551,-0.003815,-0.156212,-24.551258
2026-07-15 16:19:10.523000+00:00,13.38,13.414356,-0.004196,-0.156212,-34.355755
2026-07-15 16:20:10.523000+00:00,13.39,13.414356,-0.007248,-0.117111,-24.355755
2026-07-15 16:21:10.523000+00:00,13.38,13.414348,-0.006485,-0.117111,-34.348235
2026-07-15 16:22:35.524000+00:00,13.39,13.414225,-0.01297,-0.156212,-24.225419
2026-07-15 16:23:35.524000+00:00,13.38,13.41416,-0.014114,-0.156212,-34.160252
2026-07-15 16:27:04.523000+00:00,13.39,13.414153,-0.018692,-0.156307,-24.152732
2026-07-15 16:28:04.525000+00:00,13.38,13.414023,-0.013733,-0.195312,-34.023399
2026-07-15 16:33:04.524000+00:00,13.39,13.41377,-0.004578,-0.156307,-23.769722
2026-07-15 16:35:04.523000+00:00,13.38,13.413575,-0.005722,-0.156307,-33.574696
2026-07-15 16:37:04.523000+00:00,13.39,13.413567,-0.011063,-0.175762,-23.567176
2026-07-15 16:38:04.524000+00:00,13.38,13.413526,-0.008011,-0.175762,-33.52582
2026-07-15 16:41:08.525000+00:00,13.39,13.413379,-0.009537,-0.136662,-23.379192
2026-07-15 16:44:08.523000+00:00,13.38,13.413184,-0.0103,-0.175762,-33.183689
2026-07-15 16:51:08.524000+00:00,13.39,13.412988,0.000381,-0.156307,-22.988186
2026-07-15 16:52:08.523000+00:00,13.38,13.412988,-0.008392,-0.156307,-32.988186
2026-07-15 16:53:13.172000+00:00,13.39,13.412852,0.000763,-0.156212,-22.851715
2026-07-15 16:54:58.524000+00:00,13.38,13.412793,-0.004959,-0.117207,-32.793159
