time_utc,fridge_W,coffee_W,sum_W,time_et,over_nameplate_x
2026-07-13 11:29:02+00:00,560.0,1073.4,1633.4,2026-07-13 07:29:02-04:00,1.1
2026-07-13 11:29:04+00:00,558.9,1068.2,1627.1,2026-07-13 07:29:04-04:00,1.1
2026-07-13 11:29:06+00:00,558.5,1064.4,1622.9,2026-07-13 07:29:06-04:00,1.1
2026-07-13 11:29:08+00:00,559.2,1063.2,1622.4,2026-07-13 07:29:08-04:00,1.1
2026-07-13 11:29:10+00:00,559.2,1063.2,1622.4,2026-07-13 07:29:10-04:00,1.1
2026-07-13 11:29:12+00:00,559.6,1061.3,1620.9,2026-07-13 07:29:12-04:00,1.1
2026-07-13 11:29:14+00:00,560.0,1060.0,1620.0,2026-07-13 07:29:14-04:00,1.1
2026-07-13 11:29:16+00:00,560.5,1059.6,1620.1,2026-07-13 07:29:16-04:00,1.1
2026-07-13 11:29:18+00:00,559.9,1059.3,1619.2,2026-07-13 07:29:18-04:00,1.1
2026-07-13 11:29:20+00:00,559.9,1059.3,1619.2,2026-07-13 07:29:20-04:00,1.1
2026-07-13 11:29:22+00:00,558.9,1056.7,1615.6,2026-07-13 07:29:22-04:00,1.1
2026-07-13 11:34:38+00:00,568.2,1068.2,1636.4,2026-07-13 07:34:38-04:00,1.1
2026-07-13 11:34:40+00:00,567.8,1064.3,1632.1,2026-07-13 07:34:40-04:00,1.1
2026-07-13 11:34:42+00:00,568.0,1060.0,1628.0,2026-07-13 07:34:42-04:00,1.1
2026-07-13 11:34:44+00:00,568.0,1060.0,1628.0,2026-07-13 07:34:44-04:00,1.1
2026-07-13 11:34:46+00:00,568.0,1058.7,1626.7,2026-07-13 07:34:46-04:00,1.1
2026-07-13 11:34:48+00:00,568.0,1056.7,1624.7,2026-07-13 07:34:48-04:00,1.1
2026-07-13 11:34:50+00:00,567.2,1055.1,1622.3,2026-07-13 07:34:50-04:00,1.1
2026-07-13 11:34:52+00:00,568.0,1053.8,1621.8,2026-07-13 07:34:52-04:00,1.1
2026-07-13 11:34:54+00:00,567.7,1052.6,1620.3,2026-07-13 07:34:54-04:00,1.1
2026-07-13 11:34:56+00:00,567.7,1052.6,1620.3,2026-07-13 07:34:56-04:00,1.1
2026-07-13 11:40:26+00:00,555.8,1070.2,1626.0,2026-07-13 07:40:26-04:00,1.1
2026-07-13 11:40:28+00:00,556.0,1068.1,1624.1,2026-07-13 07:40:28-04:00,1.1
2026-07-13 11:40:30+00:00,556.0,1065.2,1621.2,2026-07-13 07:40:30-04:00,1.1
2026-07-13 11:40:32+00:00,556.0,1065.2,1621.2,2026-07-13 07:40:32-04:00,1.1
2026-07-13 11:40:34+00:00,554.9,1061.4,1616.3,2026-07-13 07:40:34-04:00,1.1
2026-07-13 11:40:36+00:00,554.8,1060.3,1615.1,2026-07-13 07:40:36-04:00,1.1
2026-07-13 11:40:38+00:00,555.4,1058.4,1613.8,2026-07-13 07:40:38-04:00,1.1
2026-07-13 11:40:40+00:00,555.2,1055.7,1610.9,2026-07-13 07:40:40-04:00,1.1
2026-07-13 11:40:42+00:00,555.2,1055.7,1610.9,2026-07-13 07:40:42-04:00,1.1
2026-07-13 11:40:44+00:00,555.3,1055.2,1610.5,2026-07-13 07:40:44-04:00,1.1
2026-07-13 11:46:18+00:00,552.7,1066.7,1619.4,2026-07-13 07:46:18-04:00,1.1
2026-07-13 11:46:20+00:00,552.7,1066.7,1619.4,2026-07-13 07:46:20-04:00,1.1
2026-07-13 11:46:22+00:00,552.9,1064.8,1617.7,2026-07-13 07:46:22-04:00,1.1
