time_utc,fridge_W,coffee_W,sum_W
2026-08-24 10:40:08+00:00,7.8,1064.7,1072.5
2026-08-24 10:40:10+00:00,7.8,1064.2,1072.0
2026-08-24 10:40:12+00:00,7.8,1064.2,1072.0
2026-08-24 10:40:14+00:00,7.9,1064.6,1072.5
2026-08-24 10:40:16+00:00,7.9,1063.8,1071.7
2026-08-24 10:40:18+00:00,7.8,1063.0,1070.8
2026-08-24 10:40:20+00:00,7.8,1063.2,1071.0
2026-08-24 10:40:22+00:00,7.8,1063.2,1071.0
2026-08-24 10:40:24+00:00,7.9,1062.7,1070.6
2026-08-24 10:40:26+00:00,7.9,1063.6,1071.5
2026-08-24 10:40:28+00:00,7.7,1063.7,1071.4
2026-08-24 10:40:30+00:00,7.7,1063.9,1071.6
2026-08-24 10:40:32+00:00,7.7,1063.9,1071.6
2026-08-24 10:40:34+00:00,7.5,1064.2,1071.7
2026-08-24 10:40:36+00:00,7.7,1063.5,1071.2
2026-08-24 10:40:38+00:00,7.9,1063.2,1071.1
2026-08-24 10:40:40+00:00,8.2,1062.9,1071.1
2026-08-24 10:40:42+00:00,8.2,1062.9,1071.1
2026-08-24 10:40:44+00:00,8.3,4.1,12.4
2026-08-24 10:40:46+00:00,8.6,0.0,8.6
2026-08-24 10:40:48+00:00,8.6,0.0,8.6
2026-08-24 10:40:50+00:00,8.4,3.7,12.1
2026-08-24 10:40:52+00:00,8.4,3.7,12.1
2026-08-24 10:40:54+00:00,8.4,4.0,12.4
2026-08-24 10:40:56+00:00,8.7,0.0,8.7
2026-08-24 10:40:58+00:00,8.6,1073.7,1082.3
2026-08-24 10:41:00+00:00,8.5,1070.5,1079.0
2026-08-24 10:41:02+00:00,8.5,1070.5,1079.0
2026-08-24 10:41:04+00:00,8.0,1068.6,1076.6
2026-08-24 10:41:06+00:00,8.0,1067.2,1075.2
2026-08-24 10:41:08+00:00,7.7,1065.1,1072.8
2026-08-24 10:41:10+00:00,8.0,1065.5,1073.5
2026-08-24 10:41:12+00:00,8.0,1065.5,1073.5
2026-08-24 10:41:14+00:00,7.9,1065.7,1073.6
