time_utc,whole_home_W,time_et
2026-07-03 00:00:00+00:00,3942.0,2026-07-02 20:00:00-04:00
2026-07-03 01:00:00+00:00,3860.4,2026-07-02 21:00:00-04:00
2026-07-03 02:00:00+00:00,998.8,2026-07-02 22:00:00-04:00
2026-07-03 03:00:00+00:00,3212.3,2026-07-02 23:00:00-04:00
2026-07-03 04:00:00+00:00,622.4,2026-07-03 00:00:00-04:00
2026-07-03 05:00:00+00:00,1971.5,2026-07-03 01:00:00-04:00
2026-07-03 06:00:00+00:00,881.9,2026-07-03 02:00:00-04:00
2026-07-03 07:00:00+00:00,1642.0,2026-07-03 03:00:00-04:00
2026-07-03 08:00:00+00:00,211.7,2026-07-03 04:00:00-04:00
2026-07-03 09:00:00+00:00,625.7,2026-07-03 05:00:00-04:00
2026-07-03 10:00:00+00:00,1257.4,2026-07-03 06:00:00-04:00
2026-07-03 11:00:00+00:00,383.2,2026-07-03 07:00:00-04:00
2026-07-03 12:00:00+00:00,2030.7,2026-07-03 08:00:00-04:00
2026-07-03 13:00:00+00:00,2522.4,2026-07-03 09:00:00-04:00
2026-07-03 14:00:00+00:00,1052.2,2026-07-03 10:00:00-04:00
2026-07-03 15:00:00+00:00,2594.9,2026-07-03 11:00:00-04:00
2026-07-03 16:00:00+00:00,5072.2,2026-07-03 12:00:00-04:00
2026-07-03 17:00:00+00:00,4905.1,2026-07-03 13:00:00-04:00
2026-07-03 18:00:00+00:00,3831.4,2026-07-03 14:00:00-04:00
2026-07-03 19:00:00+00:00,3061.6,2026-07-03 15:00:00-04:00
2026-07-03 20:00:00+00:00,4449.4,2026-07-03 16:00:00-04:00
2026-07-03 21:00:00+00:00,924.0,2026-07-03 17:00:00-04:00
2026-07-03 22:00:00+00:00,612.1,2026-07-03 18:00:00-04:00
2026-07-03 23:00:00+00:00,463.3,2026-07-03 19:00:00-04:00
2026-07-04 00:00:00+00:00,3973.5,2026-07-03 20:00:00-04:00
2026-07-04 01:00:00+00:00,4030.8,2026-07-03 21:00:00-04:00
2026-07-04 02:00:00+00:00,3119.7,2026-07-03 22:00:00-04:00
2026-07-04 03:00:00+00:00,1300.1,2026-07-03 23:00:00-04:00
2026-07-04 04:00:00+00:00,1842.4,2026-07-04 00:00:00-04:00
2026-07-04 05:00:00+00:00,686.6,2026-07-04 01:00:00-04:00
2026-07-04 06:00:00+00:00,2220.9,2026-07-04 02:00:00-04:00
2026-07-04 07:00:00+00:00,271.1,2026-07-04 03:00:00-04:00
2026-07-04 08:00:00+00:00,759.3,2026-07-04 04:00:00-04:00
2026-07-04 09:00:00+00:00,1617.2,2026-07-04 05:00:00-04:00
2026-07-04 10:00:00+00:00,710.9,2026-07-04 06:00:00-04:00
2026-07-04 11:00:00+00:00,405.6,2026-07-04 07:00:00-04:00
2026-07-04 12:00:00+00:00,1685.1,2026-07-04 08:00:00-04:00
2026-07-04 13:00:00+00:00,1973.0,2026-07-04 09:00:00-04:00
2026-07-04 14:00:00+00:00,312.7,2026-07-04 10:00:00-04:00
2026-07-04 15:00:00+00:00,591.2,2026-07-04 11:00:00-04:00
2026-07-04 16:00:00+00:00,4101.2,2026-07-04 12:00:00-04:00
2026-07-04 17:00:00+00:00,1715.1,2026-07-04 13:00:00-04:00
2026-07-04 18:00:00+00:00,4046.8,2026-07-04 14:00:00-04:00
2026-07-04 19:00:00+00:00,2402.9,2026-07-04 15:00:00-04:00
2026-07-04 20:00:00+00:00,2256.9,2026-07-04 16:00:00-04:00
2026-07-04 21:00:00+00:00,1392.5,2026-07-04 17:00:00-04:00
2026-07-04 22:00:00+00:00,528.6,2026-07-04 18:00:00-04:00
2026-07-04 23:00:00+00:00,3962.4,2026-07-04 19:00:00-04:00
2026-07-05 00:00:00+00:00,1551.1,2026-07-04 20:00:00-04:00
2026-07-05 01:00:00+00:00,0.0,2026-07-04 21:00:00-04:00
2026-07-05 02:00:00+00:00,0.0,2026-07-04 22:00:00-04:00
2026-07-05 03:00:00+00:00,0.0,2026-07-04 23:00:00-04:00
2026-07-05 04:00:00+00:00,0.0,2026-07-05 00:00:00-04:00
2026-07-05 05:00:00+00:00,0.0,2026-07-05 01:00:00-04:00
2026-07-05 06:00:00+00:00,0.0,2026-07-05 02:00:00-04:00
2026-07-05 12:00:00+00:00,2343.0,2026-07-05 08:00:00-04:00
2026-07-05 13:00:00+00:00,3371.2,2026-07-05 09:00:00-04:00
2026-07-05 14:00:00+00:00,3379.0,2026-07-05 10:00:00-04:00
2026-07-05 15:00:00+00:00,1597.3,2026-07-05 11:00:00-04:00
2026-07-05 16:00:00+00:00,1763.4,2026-07-05 12:00:00-04:00
2026-07-05 17:00:00+00:00,1741.2,2026-07-05 13:00:00-04:00
2026-07-05 18:00:00+00:00,1371.4,2026-07-05 14:00:00-04:00
2026-07-05 19:00:00+00:00,3824.7,2026-07-05 15:00:00-04:00
2026-07-05 20:00:00+00:00,2372.5,2026-07-05 16:00:00-04:00
2026-07-05 21:00:00+00:00,3363.4,2026-07-05 17:00:00-04:00
2026-07-05 22:00:00+00:00,6084.4,2026-07-05 18:00:00-04:00
2026-07-05 23:00:00+00:00,1805.7,2026-07-05 19:00:00-04:00
2026-07-06 00:00:00+00:00,738.5,2026-07-05 20:00:00-04:00
2026-07-06 01:00:00+00:00,1839.0,2026-07-05 21:00:00-04:00
2026-07-06 02:00:00+00:00,1099.1,2026-07-05 22:00:00-04:00
2026-07-06 03:00:00+00:00,528.7,2026-07-05 23:00:00-04:00
