date,v_min,source_file
2026-04-01,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-02,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-03,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-04,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-05,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-06,13.23,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-07,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-08,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-09,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-10,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-11,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-12,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-13,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-14,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-15,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-16,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-17,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-18,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
2026-04-19,13.24,battery_bank_voltage_voltmeter_battery_bank_voltage_01_04_2026_00h__01_05_2026_00h.csv
